label,area,equivalent_diameter,eccentricity,solidity,perimeter,mean_intensity,max_intensity
1,34146.0,208.50908252286484,0.7247517438681177,0.8677289014256309,858.3401871576774,0.8475927114486694,1.0
2,6541.0,91.25930014038404,0.9829114519782988,0.9407450021573421,455.53910524340097,0.8561674952507019,0.9987756609916687
3,8528.0,104.20262394729544,0.7374478910514909,0.8426044857227547,418.634559672906,0.7900245785713196,1.0
4,3094.0,62.76466483150048,0.9705356914706869,0.8362162162162162,341.33809511662423,0.8108823895454407,0.9887358546257019
5,8570.0,104.45890530912308,0.67450692578416,0.8552894211576846,416.3919189857867,0.8353447914123535,0.9963881373405457
6,6046.0,87.73828290700014,0.9096274105739359,0.891740412979351,387.095454429505,0.8419244885444641,1.0
7,4655.0,76.98655779252753,0.6842044283157572,0.8505390096839028,319.01323932934633,0.7851105332374573,0.9837771654129028
8,5816.0,86.05324626171698,0.8015874527506304,0.9138906348208674,340.40916292848976,0.7851535677909851,0.9803489446640015
9,1856.0,48.61206223797199,0.8825777064899433,0.7996553209823352,205.88225099390857,0.8267042636871338,0.9905111789703369
10,2594.0,57.46984756411846,0.8269068655769095,0.6670095140138853,381.59797974644664,0.8769622445106506,1.0
11,4679.0,77.18476423372573,0.8630574275805274,0.8775318829707427,329.58073580374355,0.812096118927002,0.998408317565918
12,2470.0,56.07942292406237,0.7085255359314792,0.9216417910447762,210.53910524340097,0.8037205338478088,0.9927150011062622
13,522.0,25.780439141949365,0.8179228745749417,0.9456521739130435,106.18376618407356,0.912358820438385,1.0
14,35.0,6.6755811781245455,1.0,1.0,33.0,0.9002248644828796,0.9870217442512512
15,650.0,28.76813695875796,0.9887911329316844,0.8104738154613467,156.87005768508882,0.8063367605209351,0.9458830952644348
16,2125.0,52.01570947860099,0.8662250987207376,0.85,242.39087296526014,0.794684886932373,0.9829201102256775
17,1237.0,39.686235861283144,0.9047270974759464,0.9009468317552805,164.8111831820431,0.8470953106880188,1.0
18,3414.0,65.93056806767136,0.6388505689045934,0.8960629921259843,249.96551211459376,0.7810194492340088,0.9872666001319885
19,2364.0,54.86290444147051,0.638707664903849,0.9223566133437378,194.50966799187808,0.828953206539154,0.9933884143829346
20,2946.0,61.24511163178486,0.7877193237229113,0.8710821998817267,246.50966799187808,0.7761011719703674,0.9636975526809692
21,2183.0,52.72079216169708,0.73162834935444,0.9433880726015558,195.63961030678928,0.7856523990631104,0.9777777791023254
22,583.0,27.245158369526866,0.6005978836246815,0.9732888146911519,94.72792206135786,0.778851330280304,0.9436179995536804
23,1007.0,35.80715321759479,0.8179169908869556,0.9358736059479554,142.94722215136414,0.7863227725028992,0.9090909361839294
24,1853.0,48.572758583327925,0.7791636470180634,0.9444444444444444,185.3259018078045,0.793757438659668,0.977288007736206
25,1302.0,40.715573031030544,0.6765048058200384,0.9559471365638766,151.9827560572969,0.8381540775299072,0.9878787994384766
26,2166.0,52.51511071964299,0.8743252678653175,0.8133683815245963,259.4974746830584,0.7920399904251099,0.9925313591957092
27,1741.0,47.081950335387745,0.7472890105728848,0.8722444889779559,183.98275605729688,0.7656041979789734,0.94233238697052
28,1089.0,37.23651251415192,0.917360270682464,0.9022369511184756,185.1543289325507,0.8146567940711975,0.9838383793830872
29,324.0,20.310825007719227,0.979183627558305,0.8161209068010076,99.55634918610404,0.7872977256774902,0.9655341506004333
30,614.0,27.96013377055607,0.48753380704927646,0.9069423929098966,110.91168824543142,0.7659602165222168,0.9643709659576416
31,1541.0,44.29517059947829,0.5618316921478722,0.8681690140845071,176.49747468305833,0.7409456968307495,0.9744107723236084
32,1124.0,37.83016320718592,0.8178383623331591,0.9351081530782029,143.698484809835,0.7953798770904541,0.9725130200386047
33,1338.0,41.274623085567335,0.5495396401969317,0.9369747899159664,149.67514421272202,0.7681521773338318,0.9222528338432312
34,844.0,32.78130832893156,0.8903594785874718,0.8551165146909828,143.39696961967,0.7578247785568237,0.9885522127151489
35,724.0,30.361578193306386,0.6631670537643926,0.9293966623876765,116.94722215136414,0.8129831552505493,0.9805325865745544
36,1305.0,40.76245338395847,0.5914285147899698,0.9151472650771388,148.18376618407356,0.7305031418800354,0.8670951724052429
37,806.0,32.03484154879717,0.5105428081059438,0.9285714285714286,116.31980515339464,0.821196973323822,0.9859198331832886
38,1123.0,37.813331098140345,0.5678526494597441,0.9056451612903226,150.42640687119285,0.775121808052063,0.9632078409194946
39,1760.0,47.33816218162558,0.9447047766633595,0.7971014492753623,319.4680374315355,0.8116934895515442,0.9892867803573608
40,266.0,18.403307281560924,0.9768663386991294,0.9672727272727273,83.89949493661166,0.8380388617515564,0.9822466969490051
41,657.0,28.92262748940701,0.9661553689289061,0.876,142.3492424049175,0.8019153475761414,0.998041033744812
42,1181.0,38.77751800118501,0.9063048457150338,0.8913207547169811,191.66904755831214,0.785385012626648,0.9867156147956848
43,274.0,18.677998695187732,0.9698447415077996,0.9480968858131488,82.14213562373095,0.7260779142379761,0.8797061443328857
44,18.0,4.787307364817192,1.0,1.0,16.0,0.7295241951942444,0.7971839904785156
45,221.0,16.774562271083887,0.7396959451883274,0.8875502008032129,62.970562748477136,0.7455021739006042,0.9176002740859985
46,1239.0,39.71830555206083,0.7462820868418719,0.885,152.46803743153544,0.7382833957672119,0.902662992477417
47,350.0,21.11004122822376,0.7187848797849893,0.9283819628647215,75.35533905932738,0.7993860840797424,0.9669421315193176
48,290.0,19.21560480373171,0.8741250218331286,0.8787878787878788,75.698484809835,0.8359138369560242,0.9732476472854614
49,497.0,25.15551736167189,0.5157510898778296,0.922077922077922,89.21320343559643,0.7168946862220764,0.8445056676864624
50,17.0,4.652426491681278,1.0,1.0,15.0,0.7850519418716431,0.8698500394821167
51,586.0,27.315167457198672,0.6252454470115033,0.9001536098310292,110.08326112068524,0.7770633101463318,0.9770431518554688
52,392.0,22.34076770248023,0.8000540380190284,0.9607843137254902,80.14213562373095,0.6945231556892395,0.7531680464744568
53,151.0,13.86575534383214,0.9725237404023906,0.993421052631579,58.242640687119284,0.7490834593772888,0.902479350566864
